,measurement_location_id,measurement_location_code,measurement_location_description,parameter_id,parameter_code,date_time,unit,value,value_type
0,4,9889,Hintham beneden,4724,WATHTE,2025-01-15 17:00:00+01:00,cm,195.0,meting
1,4,9889,Hintham beneden,4724,WATHTE,2025-01-15 17:10:00+01:00,cm,194.0,meting
2,4,9889,Hintham beneden,4724,WATHTE,2025-01-15 17:20:00+01:00,cm,195.0,meting
3,4,9889,Hintham beneden,4724,WATHTE,2025-01-15 17:30:00+01:00,cm,196.0,meting
4,4,9889,Hintham beneden,4724,WATHTE,2025-01-15 17:40:00+01:00,cm,193.0,meting
5,4,9889,Hintham beneden,4724,WATHTE,2025-01-15 17:50:00+01:00,cm,196.0,meting
6,4,9889,Hintham beneden,4724,WATHTE,2025-01-15 18:00:00+01:00,cm,200.0,meting
7,4,9889,Hintham beneden,4724,WATHTE,2025-01-15 18:10:00+01:00,cm,194.0,meting
8,4,9889,Hintham beneden,4724,WATHTE,2025-01-15 18:20:00+01:00,cm,197.0,meting
9,4,9889,Hintham beneden,4724,WATHTE,2025-01-15 18:30:00+01:00,cm,201.0,meting
10,4,9889,Hintham beneden,4724,WATHTE,2025-01-15 18:40:00+01:00,cm,196.0,meting
11,4,9889,Hintham beneden,4724,WATHTE,2025-01-15 18:50:00+01:00,cm,196.0,meting
12,4,9889,Hintham beneden,4724,WATHTE,2025-01-15 19:00:00+01:00,cm,200.0,meting
13,4,9889,Hintham beneden,4724,WATHTE,2025-01-15 19:10:00+01:00,cm,194.0,meting
14,4,9889,Hintham beneden,4724,WATHTE,2025-01-15 19:20:00+01:00,cm,195.0,meting
15,4,9889,Hintham beneden,4724,WATHTE,2025-01-15 19:30:00+01:00,cm,197.0,meting
16,4,9889,Hintham beneden,4724,WATHTE,2025-01-15 19:40:00+01:00,cm,192.0,meting
17,4,9889,Hintham beneden,4724,WATHTE,2025-01-15 19:50:00+01:00,cm,194.0,meting
18,4,9889,Hintham beneden,4724,WATHTE,2025-01-15 20:00:00+01:00,cm,195.0,meting
19,4,9889,Hintham beneden,4724,WATHTE,2025-01-15 20:10:00+01:00,cm,191.0,meting
20,4,9889,Hintham beneden,4724,WATHTE,2025-01-15 20:20:00+01:00,cm,193.0,meting
