time,fid,P
2024-01-01,300268,10.490601
2024-01-02,300268,0.0
2024-01-03,300268,26.53003
2024-01-04,300268,10.209997
2024-01-05,300268,6.5299797
2024-01-06,300268,4.9500084
2024-01-07,300268,0.0
2024-01-08,300268,0.0
2024-01-09,300268,0.0
2024-01-10,300268,0.0
2024-01-11,300268,0.0
2024-01-12,300268,0.0
2024-01-13,300268,0.0
2024-01-14,300268,1.7799835
2024-01-15,300268,8.919991
2024-01-16,300268,3.7799492
2024-01-17,300268,2.4399872
2024-01-18,300268,0.0
2024-01-19,300268,0.7799988
2024-01-20,300268,0.6999893
2024-01-21,300268,0.0
2024-01-22,300268,1.4000473
2024-01-23,300268,1.9100342
2024-01-24,300268,8.200043
2024-01-25,300268,0.05000305
2024-01-26,300268,0.640007
2024-01-27,300268,3.7899399
2024-01-28,300268,0.0
2024-01-29,300268,0.0
2024-01-30,300268,0.0
2024-01-31,300268,0.0
2024-02-01,300268,4.7899933
2024-02-02,300268,0.0
2024-02-03,300268,0.0
2024-02-04,300268,0.1000061
2024-02-05,300268,0.0
2024-02-06,300268,0.0
2024-02-07,300268,9.030014
2024-02-08,300268,1.4200134
2024-02-09,300268,14.179871
2024-02-10,300268,9.369926
2024-02-11,300268,0.3100357
2024-02-12,300268,5.0800476
2024-02-13,300268,0.0
2024-02-14,300268,3.8600311
2024-02-15,300268,8.499893
2024-02-16,300268,6.1299896
2024-02-17,300268,1.4700317
2024-02-18,300268,0.0
2024-02-19,300268,25.030014
2024-02-20,300268,0.51000977
2024-02-21,300268,0.13995361
2024-02-22,300268,5.5300903
2024-02-23,300268,15.170029
2024-02-24,300268,1.9699554
2024-02-25,300268,9.049957
2024-02-26,300268,1.3799744
2024-02-27,300268,0.0
2024-02-28,300268,0.0
2024-02-29,300268,0.0
2024-03-01,300268,3.6499634
2024-03-02,300268,1.8599243
2024-03-03,300268,0.39994812
2024-03-04,300268,0.009994507
2024-03-05,300268,0.0
2024-03-06,300268,3.1701965
