;measurement_location_id;measurement_location_code;measurement_location_description;parameter_id;parameter_code;date_time;unit;value;value_type
0;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-29 16:00:00+01:00;cm;469.0;meting
1;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-29 16:10:00+01:00;cm;472.0;meting
2;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-29 16:20:00+01:00;cm;476.0;meting
3;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-29 16:30:00+01:00;cm;468.0;meting
4;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-29 16:40:00+01:00;cm;468.0;meting
5;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-29 16:50:00+01:00;cm;470.0;meting
6;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-29 17:00:00+01:00;cm;473.0;meting
7;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-29 17:10:00+01:00;cm;466.0;meting
8;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-29 17:20:00+01:00;cm;467.0;meting
9;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-29 17:30:00+01:00;cm;470.0;meting
10;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-29 17:40:00+01:00;cm;473.0;meting
11;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-29 17:50:00+01:00;cm;471.0;meting
12;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-29 18:00:00+01:00;cm;463.0;meting
13;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-29 18:10:00+01:00;cm;471.0;meting
