"id","x","y","gebiedsnaam","doorbraaklocatie","workspace","eigenaar","motivatie","doel","berekening","naam_buitenwater","buitenwater","modelleers","regionale","type_oevers","geom"
1,"73328.090513000002829","399845.567592000006698","Dijkring 34 - West-Brabant (regionaal)","Schelde-Rijnkanaal 1","Primair","Provincie Noord-Brabant","-","Studie binnenkeringen","2d model","Schelde - Rijnkanaal","scheepvaartkanaal","SOBEK","Ja","B","0101000020E6100000C2D14002DBD5104041BE236371CA4940"
2,"74323.000000000000000","392861.000000000000000","Dijkring 34 - West-Brabant (regionaal)","VolkerakZoommeer 3","Primair","Provincie Noord-Brabant","-","Studie binnenkeringen","2d model","Volkerak","groot meer (incl. afgesloten zeearm)","SOBEK","Nee","B","0101000020E6100000BF16D09932E61040BA9464376DC24940"
3,"74623.100014099996770","388801.457385000016075","Dijkring 34 - West-Brabant (regionaal)","Schelde-Rijnkanaal 4","Primair","Provincie Noord-Brabant","-","Studie binnenkeringen","2d model","Schelde - Rijnkanaal","scheepvaartkanaal","SOBEK","Ja","B","0101000020E6100000342E143F93EB1040CBA3D71FC3BD4940"
4,"75244.000000000000000","405002.000000000000000","Dijkring 34 - West-Brabant (regionaal)","VolkerakZoommeer 3","Primair","Provincie Noord-Brabant","-","Studie binnenkeringen","2d model","Volkerak","groot meer (incl. afgesloten zeearm)","SOBEK","Ja","B","0101000020E6100000FB58CE8DF3F01040A728BBEB68D04940"
5,"75352.368414800002938","392141.620087000017520","Dijkring 34 - West-Brabant (regionaal)","Schelde-Rijnkanaal 5","Primair","Provincie Noord-Brabant","-","Studie binnenkeringen","2d model","Schelde - Rijnkanaal","scheepvaartkanaal","SOBEK","Ja","B","0101000020E6100000CD643A898CF51040D4AF6A2B9EC14940"
6,"75525.482814999995753","396263.392790000012610","Dijkring 34 - West-Brabant (regionaal)","Schelde-Rijnkanaal 2","Primair","Provincie Noord-Brabant","-","Studie binnenkeringen","2d model","Schelde - Rijnkanaal","scheepvaartkanaal","SOBEK","Ja","B","0101000020E6100000AB2F957125F71040DD0D52CC5CC64940"
7,"76103.002515500003938","391108.863485999987461","Dijkring 34 - West-Brabant (regionaal)","Schelde-Rijnkanaal 3","Primair","Provincie Noord-Brabant","-","Studie binnenkeringen","2d model","Schelde - Rijnkanaal","scheepvaartkanaal","SOBEK","Ja","B","0101000020E61000003061068BDB001140DF668F7E71C04940"
8,"79241.799918599994271","405235.732696000020951","Dijkring 34 - West-Brabant (regionaal)","VolkerakZoommeer 4","Primair","Provincie Noord-Brabant","-","Studie binnenkeringen","2d model","Volkerak","groot meer (incl. afgesloten zeearm)","SOBEK","Ja","B","0101000020E61000002A676592032C1140CE9809E9BFD04940"
9,"83716.990122799994424","407248.161697999981698","Dijkring 34 - West-Brabant (regionaal)","VolkerakZoommeer 2","Primair","Provincie Noord-Brabant","-","Studie binnenkeringen","2d model","Volkerak","groot meer (incl. afgesloten zeearm)","SOBEK","Ja","B","0101000020E6100000B20A6283C56D1140427D04C923D34940"
10,"86134.932225099997595","409635.101698999991640","Dijkring 34 - West-Brabant (regionaal)","VolkerakZoommeer 1","Primair","Provincie Noord-Brabant","-","Studie binnenkeringen","2d model","Volkerak","groot meer (incl. afgesloten zeearm)","SOBEK","Ja","B","0101000020E610000083F5925A0F91114024CC18A4ECD54940"
