section_id,failure_probability_1,failure_probability_2,failure_probability_3,failure_probability_4,failure_probability_5,failure_probability_6,failure_probability_7
1,"0.55",0.55,0.55,0.55,0.55,0.55,0.55
3,"9.999999999999996e-11",9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11
4,"9.999999999999996e-11",9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11
5,"0.01",0.01,0.01,0.01,0.01,0.01,0.01
6,"9.999999999999996e-11",9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11
7,"9.999999999999996e-11",9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11
8,"9.999999999999996e-11",9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11
9,"9.999999999999215e-11",9.999999999999215e-11,9.999999999999215e-11,9.999999999999215e-11,9.999999999999215e-11,9.999999999999215e-11,9.999999999999215e-11
15,"9.999999999999996e-11",9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11
16,"9.999999999999996e-11",9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11
17,"9.999999999999996e-11",9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11
18,"9.999999999999996e-11",9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11,9.999999999999996e-11
