section_id,failuremechanism_id,measure_id,hydraulicload,failure_probability
34003024,1,0,3.15,0.00021609914479559
34003024,1,0,3.2,0.000294918676799649
34003024,1,0,3.25,0.000460790759084784
34003024,1,0,3.3,0.000626662841369807
34003024,1,0,3.35,0.000959203547727827
34003024,1,0,3.4,0.00129174425408585
34003024,1,0,3.45,0.0018585564115019
34003024,1,0,3.5,0.00242536856891795
34003024,1,0,3.55,0.00332651127482009
34003024,1,0,3.6,0.00422765398072222
34003024,1,0,3.65,0.00570647310709371
34003024,1,0,3.7,0.0071852922334652
34003024,1,0,3.75,0.00956918683659824
34003024,1,0,3.8,0.0119530814397313
34003024,1,0,3.85,0.0150836559317804
34003024,1,0,3.9,0.0182142304238296
34003024,1,0,3.95,0.0227419374877078
34003024,1,0,4,0.0272696445516023
34003024,1,0,4.05,0.148417478853066
34003024,1,0,4.1,0.489489167043875
34003024,1,0,4.15,0.72749235921769
34003024,1,0,4.2,0.855048792398366
34003024,1,0,4.25,0.921126866537832
34003024,1,0,4.3,0.955720955323066
34003024,1,0,4.35,0.974414742163
34003024,1,0,4.4,0.984783623668346
34003024,1,0,4.45,0.990732185603613
34003024,1,0,4.5,0.994220279627784
34003024,1,0,4.55,0.996327076201464
34003024,1,0,4.6,0.99762078051801
34003024,1,0,4.65,0.998435671048129
34003024,1,0,4.7,0.998955255171423
34003024,1,0,4.75,0.999293879489485
34003024,1,0,4.8,0.999516567057401
34003024,1,0,4.85,0.999665789204536
34003024,1,0,4.9,0.999766474700381
34003024,1,0,4.95,0.999835824305697
34003024,1,0,5,0.999883569263999
34002012,1,0,3.25,3.45490430719853E-06
34002012,1,0,3.3,5.0519463637988E-06
34002012,1,0,3.35,8.85937742101106E-06
34002012,1,0,3.4,1.26668084783343E-05
34002012,1,0,3.45,2.12233903619241E-05
34002012,1,0,3.5,2.97799722455139E-05
34002012,1,0,3.55,4.77030315767513E-05
34002012,1,0,3.6,6.56260909079887E-05
34002012,1,0,3.65,0.00010450461864564
34002012,1,0,3.7,0.00014338314638318
34002012,1,0,3.75,0.000205708695974915
