waveval_id,waveval_type,hr_locid,hr_location,winddir,windspeed
1,2,13421200,034-02_0200_9_HD_km0996,225.0,0.0
2,2,13421200,034-02_0200_9_HD_km0996,225.0,10.0
3,2,13421200,034-02_0200_9_HD_km0996,225.0,20.0
4,2,13421200,034-02_0200_9_HD_km0996,225.0,30.0
5,2,13421200,034-02_0200_9_HD_km0996,225.0,42.0
6,2,13421200,034-02_0200_9_HD_km0996,225.0,46.0
7,2,13421200,034-02_0200_9_HD_km0996,247.5,0.0
8,2,13421200,034-02_0200_9_HD_km0996,247.5,10.0
9,2,13421200,034-02_0200_9_HD_km0996,247.5,20.0
10,2,13421200,034-02_0200_9_HD_km0996,247.5,30.0
11,2,13421200,034-02_0200_9_HD_km0996,247.5,42.0
12,2,13421200,034-02_0200_9_HD_km0996,247.5,46.0
13,2,13421200,034-02_0200_9_HD_km0996,270.0,0.0
14,2,13421200,034-02_0200_9_HD_km0996,270.0,10.0
15,2,13421200,034-02_0200_9_HD_km0996,270.0,20.0
16,2,13421200,034-02_0200_9_HD_km0996,270.0,30.0
17,2,13421200,034-02_0200_9_HD_km0996,270.0,42.0
18,2,13421200,034-02_0200_9_HD_km0996,270.0,46.0
19,2,13421200,034-02_0200_9_HD_km0996,292.5,0.0
20,2,13421200,034-02_0200_9_HD_km0996,292.5,10.0
21,2,13421200,034-02_0200_9_HD_km0996,292.5,20.0
22,2,13421200,034-02_0200_9_HD_km0996,292.5,30.0
23,2,13421200,034-02_0200_9_HD_km0996,292.5,42.0
24,2,13421200,034-02_0200_9_HD_km0996,292.5,46.0
25,2,13421200,034-02_0200_9_HD_km0996,315.0,0.0
26,2,13421200,034-02_0200_9_HD_km0996,315.0,10.0
27,2,13421200,034-02_0200_9_HD_km0996,315.0,20.0
28,2,13421200,034-02_0200_9_HD_km0996,315.0,30.0
29,2,13421200,034-02_0200_9_HD_km0996,315.0,42.0
30,2,13421200,034-02_0200_9_HD_km0996,315.0,46.0
31,2,13421200,034-02_0200_9_HD_km0996,337.5,0.0
32,2,13421200,034-02_0200_9_HD_km0996,337.5,10.0
33,2,13421200,034-02_0200_9_HD_km0996,337.5,20.0
34,2,13421200,034-02_0200_9_HD_km0996,337.5,30.0
35,2,13421200,034-02_0200_9_HD_km0996,337.5,42.0
36,2,13421200,034-02_0200_9_HD_km0996,337.5,46.0
37,2,13421200,034-02_0200_9_HD_km0996,360.0,0.0
38,2,13421200,034-02_0200_9_HD_km0996,360.0,10.0
39,2,13421200,034-02_0200_9_HD_km0996,360.0,20.0
40,2,13421200,034-02_0200_9_HD_km0996,360.0,30.0
41,2,13421200,034-02_0200_9_HD_km0996,360.0,42.0
42,2,13421200,034-02_0200_9_HD_km0996,360.0,46.0
43,2,13421200,034-02_0200_9_HD_km0996,22.5,0.0
44,2,13421200,034-02_0200_9_HD_km0996,22.5,10.0
45,2,13421200,034-02_0200_9_HD_km0996,22.5,20.0
46,2,13421200,034-02_0200_9_HD_km0996,22.5,30.0
47,2,13421200,034-02_0200_9_HD_km0996,22.5,42.0
48,2,13421200,034-02_0200_9_HD_km0996,45.0,0.0
49,2,13421200,034-02_0200_9_HD_km0996,45.0,10.0
50,2,13421200,034-02_0200_9_HD_km0996,45.0,20.0
51,2,13421200,034-02_0200_9_HD_km0996,45.0,30.0
52,2,13421200,034-02_0200_9_HD_km0996,45.0,42.0
53,2,13421200,034-02_0200_9_HD_km0996,67.5,0.0
54,2,13421200,034-02_0200_9_HD_km0996,67.5,10.0
55,2,13421200,034-02_0200_9_HD_km0996,67.5,20.0
56,2,13421200,034-02_0200_9_HD_km0996,67.5,30.0
57,2,13421200,034-02_0200_9_HD_km0996,67.5,42.0
58,2,13421200,034-02_0200_9_HD_km0996,90.0,0.0
59,2,13421200,034-02_0200_9_HD_km0996,90.0,10.0
60,2,13421200,034-02_0200_9_HD_km0996,90.0,20.0
61,2,13421200,034-02_0200_9_HD_km0996,90.0,30.0
62,2,13421200,034-02_0200_9_HD_km0996,90.0,42.0
63,2,13421200,034-02_0200_9_HD_km0996,112.5,0.0
64,2,13421200,034-02_0200_9_HD_km0996,112.5,10.0
65,2,13421200,034-02_0200_9_HD_km0996,112.5,20.0
66,2,13421200,034-02_0200_9_HD_km0996,112.5,30.0
67,2,13421200,034-02_0200_9_HD_km0996,112.5,42.0
68,2,13421200,034-02_0200_9_HD_km0996,135.0,0.0
69,2,13421200,034-02_0200_9_HD_km0996,135.0,10.0
70,2,13421200,034-02_0200_9_HD_km0996,135.0,20.0
71,2,13421200,034-02_0200_9_HD_km0996,135.0,30.0
72,2,13421200,034-02_0200_9_HD_km0996,135.0,42.0
73,2,13421200,034-02_0200_9_HD_km0996,157.5,0.0
74,2,13421200,034-02_0200_9_HD_km0996,157.5,10.0
75,2,13421200,034-02_0200_9_HD_km0996,157.5,20.0
76,2,13421200,034-02_0200_9_HD_km0996,157.5,30.0
77,2,13421200,034-02_0200_9_HD_km0996,157.5,42.0
78,2,13421200,034-02_0200_9_HD_km0996,180.0,0.0
79,2,13421200,034-02_0200_9_HD_km0996,180.0,10.0
80,2,13421200,034-02_0200_9_HD_km0996,180.0,20.0
81,2,13421200,034-02_0200_9_HD_km0996,180.0,30.0
82,2,13421200,034-02_0200_9_HD_km0996,180.0,42.0
83,2,13421200,034-02_0200_9_HD_km0996,202.5,0.0
84,2,13421200,034-02_0200_9_HD_km0996,202.5,10.0
85,2,13421200,034-02_0200_9_HD_km0996,202.5,20.0
86,2,13421200,034-02_0200_9_HD_km0996,202.5,30.0
87,2,13421200,034-02_0200_9_HD_km0996,202.5,42.0
88,6,13421200,034-02_0200_9_HD_km0996,225.0,0.0
89,6,13421200,034-02_0200_9_HD_km0996,225.0,10.0
90,6,13421200,034-02_0200_9_HD_km0996,225.0,20.0
91,6,13421200,034-02_0200_9_HD_km0996,225.0,30.0
92,6,13421200,034-02_0200_9_HD_km0996,225.0,42.0
93,6,13421200,034-02_0200_9_HD_km0996,225.0,46.0
94,6,13421200,034-02_0200_9_HD_km0996,247.5,0.0
95,6,13421200,034-02_0200_9_HD_km0996,247.5,10.0
96,6,13421200,034-02_0200_9_HD_km0996,247.5,20.0
97,6,13421200,034-02_0200_9_HD_km0996,247.5,30.0
98,6,13421200,034-02_0200_9_HD_km0996,247.5,42.0
99,6,13421200,034-02_0200_9_HD_km0996,247.5,46.0
100,6,13421200,034-02_0200_9_HD_km0996,270.0,0.0
101,6,13421200,034-02_0200_9_HD_km0996,270.0,10.0
102,6,13421200,034-02_0200_9_HD_km0996,270.0,20.0
103,6,13421200,034-02_0200_9_HD_km0996,270.0,30.0
104,6,13421200,034-02_0200_9_HD_km0996,270.0,42.0
105,6,13421200,034-02_0200_9_HD_km0996,270.0,46.0
106,6,13421200,034-02_0200_9_HD_km0996,292.5,0.0
107,6,13421200,034-02_0200_9_HD_km0996,292.5,10.0
108,6,13421200,034-02_0200_9_HD_km0996,292.5,20.0
109,6,13421200,034-02_0200_9_HD_km0996,292.5,30.0
110,6,13421200,034-02_0200_9_HD_km0996,292.5,42.0
111,6,13421200,034-02_0200_9_HD_km0996,292.5,46.0
112,6,13421200,034-02_0200_9_HD_km0996,315.0,0.0
113,6,13421200,034-02_0200_9_HD_km0996,315.0,10.0
114,6,13421200,034-02_0200_9_HD_km0996,315.0,20.0
115,6,13421200,034-02_0200_9_HD_km0996,315.0,30.0
116,6,13421200,034-02_0200_9_HD_km0996,315.0,42.0
117,6,13421200,034-02_0200_9_HD_km0996,315.0,46.0
118,6,13421200,034-02_0200_9_HD_km0996,337.5,0.0
119,6,13421200,034-02_0200_9_HD_km0996,337.5,10.0
120,6,13421200,034-02_0200_9_HD_km0996,337.5,20.0
121,6,13421200,034-02_0200_9_HD_km0996,337.5,30.0
122,6,13421200,034-02_0200_9_HD_km0996,337.5,42.0
123,6,13421200,034-02_0200_9_HD_km0996,337.5,46.0
124,6,13421200,034-02_0200_9_HD_km0996,360.0,0.0
125,6,13421200,034-02_0200_9_HD_km0996,360.0,10.0
126,6,13421200,034-02_0200_9_HD_km0996,360.0,20.0
127,6,13421200,034-02_0200_9_HD_km0996,360.0,30.0
128,6,13421200,034-02_0200_9_HD_km0996,360.0,42.0
129,6,13421200,034-02_0200_9_HD_km0996,360.0,46.0
130,6,13421200,034-02_0200_9_HD_km0996,22.5,0.0
131,6,13421200,034-02_0200_9_HD_km0996,22.5,10.0
132,6,13421200,034-02_0200_9_HD_km0996,22.5,20.0
133,6,13421200,034-02_0200_9_HD_km0996,22.5,30.0
134,6,13421200,034-02_0200_9_HD_km0996,22.5,42.0
135,6,13421200,034-02_0200_9_HD_km0996,45.0,0.0
136,6,13421200,034-02_0200_9_HD_km0996,45.0,10.0
137,6,13421200,034-02_0200_9_HD_km0996,45.0,20.0
138,6,13421200,034-02_0200_9_HD_km0996,45.0,30.0
139,6,13421200,034-02_0200_9_HD_km0996,45.0,42.0
140,6,13421200,034-02_0200_9_HD_km0996,67.5,0.0
141,6,13421200,034-02_0200_9_HD_km0996,67.5,10.0
142,6,13421200,034-02_0200_9_HD_km0996,67.5,20.0
143,6,13421200,034-02_0200_9_HD_km0996,67.5,30.0
144,6,13421200,034-02_0200_9_HD_km0996,67.5,42.0
145,6,13421200,034-02_0200_9_HD_km0996,90.0,0.0
146,6,13421200,034-02_0200_9_HD_km0996,90.0,10.0
147,6,13421200,034-02_0200_9_HD_km0996,90.0,20.0
148,6,13421200,034-02_0200_9_HD_km0996,90.0,30.0
149,6,13421200,034-02_0200_9_HD_km0996,90.0,42.0
150,6,13421200,034-02_0200_9_HD_km0996,112.5,0.0
151,6,13421200,034-02_0200_9_HD_km0996,112.5,10.0
152,6,13421200,034-02_0200_9_HD_km0996,112.5,20.0
153,6,13421200,034-02_0200_9_HD_km0996,112.5,30.0
154,6,13421200,034-02_0200_9_HD_km0996,112.5,42.0
155,6,13421200,034-02_0200_9_HD_km0996,135.0,0.0
156,6,13421200,034-02_0200_9_HD_km0996,135.0,10.0
157,6,13421200,034-02_0200_9_HD_km0996,135.0,20.0
158,6,13421200,034-02_0200_9_HD_km0996,135.0,30.0
159,6,13421200,034-02_0200_9_HD_km0996,135.0,42.0
160,6,13421200,034-02_0200_9_HD_km0996,157.5,0.0
