voorkeurslabel,omschrijving,id,grootheid,groep,label,definitie,label_en,aquo_url,units
Waterdiepte,Waterdiepte,4723,WATDTE,Grootheid,waterdiepte,verticale afstand tussen waterspiegel en waterbodem,water depth,https://www.aquo.nl/index.php/Id-bd283cb5-2f2e-460a-9286-44252f136179,m
Waterhoogte,Waterhoogte,4724,WATHTE,Grootheid,,,water height,,m+NAP
Windrichting,Windrichting,4748,WINDRTG,Grootheid,windrichting,de richting van waaruit de wind waait,wind direction,https://www.aquo.nl/index.php/Id-e955993f-b546-4603-ad85-5e84e77a1293,° tov Noord waar de wind vandaan komt
Windsnelheid,Windsnelheid,4749,WINDSHD,Grootheid,windsnelheid,de gemiddelde snelheid van luchtdeeltjes in de (buiten) lucht,windspeed,https://www.aquo.nl/index.php/Id-283501d0-7c17-4e9d-9543-c042698da112,m/s
Golfhoogte,Golfhoogte,3640,GOLFHTE,Grootheid,golfhoogte,verticale afstand tussen golftop en golfdal,wave height,https://www.aquo.nl/index.php/Id-fcfe2e65-3fde-401a-9f75-d9bbca883d2b,m
Temperatuur,Temperatuur,1522,T,Grootheid,temperatuur,maat voor hoe warm of koud iets is,temperature,https://www.aquo.nl/index.php/Id-368757fa-38b2-4b6a-910f-72e849810ba9,° Celcius
Temperatuur lucht,Temperatuur lucht,-1,TLCHT,,,,temperature air,,° Celcius
Temperatuur water,Temperatuur water,-2,TWAT,,,,temperature water,,° Celcius
Stroomrichting,Stroomrichting,4513,STROOMRTG,Grootheid,stroomrichting,"richting waarin het water stroomt. De richting die een stroom volgt, d.w.z. de richting van de snelheid van een stromend medium.",current direction,https://www.aquo.nl/index.php/Id-d929235a-0943-4bcb-a3f3-1914c3c5e91d,° tov Noord waar de stroming heen gaat
Stroomsnelheid,Stroomsnelheid,4519,STROOMSHD,Grootheid,stroomsnelheid,"de gemiddelde stroomsnelheid van het water, zijnde het quotiënt van de cumulatieve aanvoerhoeveelheid en de natte oppervlakte","	current speed",https://www.aquo.nl/index.php/Id-ce7672a9-b215-4f1c-ba6b-c048fbc26bd5,m/s
Debiet,Debiet,3300,Q,Grootheid,debiet,het volume van een vloeistof of een gas dat per tijdseenheid door een doorsnede stroomt,"	flow rate",https://www.aquo.nl/index.php/Id-9b6c011f-f6df-4293-8b30-f12e528b9176,m3/s
Saliniteit,Saliniteit,4103,SALNTT,Grootheid,saliniteit,"het totale gewicht aan vaste stof per gewichtseenheid water, als alle carbonaatzouten zijn omgezet in oxiden, alle organische stof is geoxideerd en alle bromide- en jodide-ionen zijn vervangen door equivalente hoeveelheden chloride-ionen.",salinity,https://www.aquo.nl/index.php/Id-f0cb40fc-8834-4c5b-ab14-edaaa10c9f53,g/kg
Actuele verdamping,Actuele verdamping,4628,VERDPG,Grootheid,actuele verdamping,is de verdamping vanuit bodem en vegetatie,precipitation,https://www.aquo.nl/index.php/Id-d0fd56cb-3091-4eb5-8084-76917e37ab94,mm
Neerslag,Neerslag,3991,NEERSG,Grootheid,neerslag,water in vaste of vloeibare vorm dat uit de atmosfeer op het aardoppervlak valt,,https://www.aquo.nl/index.php/Id-8ab293ca-ca4d-4738-b38c-380e92263446,mm
Neerslagoverschot,Neerslagoverschot,5171,NEERSOVST,Grootheid,neerslagoverschot,het verschil tussen de netto neerslag en de verdamping,precipitation excess,https://www.aquo.nl/index.php/Id-e8fc9b10-3657-4acb-a8d2-3681bac8e4d9,mm
Neerslagtekort,Neerslagtekort,5824,NEERSTKRT,Grootheid,neerslagtekort,het verschil tussen de verdamping en de netto neerslag,precipitation deficit,https://www.aquo.nl/index.php/Id-035ab6b4-10e5-458d-afec-ac071a1595c8,mm
Actuele verdamping,Actuele verdamping,4627,VERDPG,Grootheid,actuele verdamping,is de verdamping vanuit bodem en vegetatie,evaporation,https://www.aquo.nl/index.php/Id-d0fd56cb-3091-4eb5-8084-76917e37ab94,mm
X-coordinaat,X-coordinaat,4768,X_CODNT,Grootheid,,,x-coordinaat,,-
Y-coordinaat,Y-coordinaat,4772,Y_CODNT,Grootheid,,,y-coordinaat,,-
Astronomisch getij,Astronomisch getij,-3,GETIJ,,,,astronomical tide,,cm tov MSL
Grondwaterstand,Grondwaterstand,-4,WATGRD,,,,groundwater level,,m+NAP
,,,,,,,,,
,,,,,,,,,"AQUO zegt er niet zoveel over, behalve dat ""basisgrootheden uit het SI-stelsel en aanvullende, afgeleide en dimensieloze grootheden die voorkomen in de
NEN-EN-ISO 80000 of volgens deze norm afgeleid kunnen worden uit de basisgrootheden."""
,,,,,,,,,"Zie ook Praktijkrichtlijn domeintabellen IM Metingen (aquo.nl). Op p. 60 staat er onder grootheid wat informatie, ook met een verwijzing naar de KNMI voor meteorologische componenten"
